cluster_id,best_group,celltype,timepoint,accessibility,gini_coefficient,n_timepoints,n_timepoints_with_edges,n_total_nodes,n_total_edges,n_total_tfs,n_developmental_tfs,developmental_tfs_list,node_turnover_rate,edge_turnover_rate,tf_turnover_rate,dev_tf_turnover_rate,temporal_variance,dynamics_score,timepoints
2_2,enteric_neurons_30somites,enteric_neurons,30somites,27.82081764227393,0.2195775960360966,6,6,51,73,43,4,"['sox19a', 'sox19b', 'sox2', 'sox3']",1.0,1.0,1.0,1.0,0.9679238900800795,0.9967923890080079,"['00', '05', '10', '15', '20', '30']"
10_4,fast_muscle_30somites,fast_muscle,30somites,94.22915062677129,0.5081519185784864,6,5,42,84,16,1,['olig2'],1.0,1.0,1.0,1.0,0.9265537132789243,0.9926553713278924,"['00', '05', '10', '15', '20', '30']"
25_1,hematopoietic_vasculature_20somites,hematopoietic_vasculature,20somites,55.88940339683086,0.24707730355840352,6,6,61,107,23,6,"['gata1a', 'gata2a', 'gata3', 'gata4', 'gata5', 'gata6']",0.9672131147540983,1.0,0.9565217391304348,1.0,0.8894031434235988,0.9802446621684469,"['00', '05', '10', '15', '20', '30']"
25_3,hematopoietic_vasculature_30somites,hematopoietic_vasculature,30somites,98.68499509352004,0.23670571202566437,6,6,73,119,39,6,"['gata1a', 'gata2a', 'gata3', 'gata5', 'pax6a', 'pax6b']",0.9863013698630136,1.0,1.0,1.0,0.7398268378478845,0.9739826837847884,"['00', '05', '10', '15', '20', '30']"
13_12,neural_optic_0somites,neural_optic,0somites,56.47455531985289,0.26338629018725834,6,6,41,60,28,6,"['sox10', 'sox19a', 'sox19b', 'sox2', 'sox3', 'sox9b']",0.975609756097561,1.0,1.0,1.0,0.736304013581505,0.9736304013581504,"['00', '05', '10', '15', '20', '30']"
3_1,optic_cup_20somites,optic_cup,20somites,13.477837311077325,0.2328987878064257,5,5,30,40,28,2,"['pax6a', 'pax6b']",1.0,1.0,1.0,1.0,0.7300149386824822,0.9730014938682481,"['05', '10', '15', '20', '30']"
10_7,fast_muscle_30somites,fast_muscle,30somites,57.64776144709954,0.24684733692018734,6,5,45,95,22,1,['olig2'],1.0,1.0,1.0,1.0,0.7196803560017564,0.9719680356001755,"['00', '05', '10', '15', '20', '30']"
7_4,differentiating_neurons_30somites,differentiating_neurons,30somites,4.251003623868016,0.053168656613557186,6,6,38,47,24,3,"['sox2', 'sox3', 'sox9b']",1.0,1.0,1.0,1.0,0.6766508697871946,0.9676650869787193,"['00', '05', '10', '15', '20', '30']"
3_5,optic_cup_30somites,optic_cup,30somites,71.25004473848227,0.2134820306900922,5,5,56,105,41,3,"['meox1', 'pax6a', 'pax6b']",0.9642857142857143,1.0,1.0,1.0,0.659166389260783,0.9659166389260783,"['05', '10', '15', '20', '30']"
18_9,hatching_gland_15somites,hatching_gland,15somites,94.75809584516333,0.4918111652992816,6,6,45,61,30,1,['sox10'],1.0,1.0,1.0,1.0,0.651269752332619,0.9651269752332619,"['00', '05', '10', '15', '20', '30']"
26_11,hemangioblasts_15somites,hemangioblasts,15somites,199.4635412593281,0.29038304034481643,5,4,28,42,11,4,"['gata1a', 'gata2a', 'gata5', 'gata6']",1.0,1.0,1.0,1.0,0.6104185417000779,0.9610418541700076,"['05', '10', '15', '20', '30']"
14_6,endoderm_30somites,endoderm,30somites,39.62579249361766,0.22730165693463977,6,6,51,61,46,2,"['meox1', 'pax2a']",0.9803921568627451,1.0,1.0,1.0,0.6007884366082041,0.9600788436608203,"['00', '05', '10', '15', '20', '30']"
28_11,enteric_neurons_30somites,enteric_neurons,30somites,85.43230379240624,0.15008509215938126,6,6,48,48,37,4,"['sox10', 'sox2', 'sox3', 'sox9b']",0.9791666666666666,1.0,1.0,1.0,0.5590169943749473,0.9559016994374947,"['00', '05', '10', '15', '20', '30']"
5_5,epidermis_10somites,epidermis,10somites,13.68650750609525,0.23490980183480326,6,5,40,54,29,5,"['sox10', 'sox19a', 'sox2', 'sox3', 'sox9b']",1.0,1.0,1.0,1.0,0.5315562842572114,0.953155628425721,"['00', '05', '10', '15', '20', '30']"
3_2,hindbrain_15somites,hindbrain,15somites,36.432057054904334,0.31665752837270444,6,6,31,57,18,4,"['pax6a', 'pax6b', 'sox3', 'sox9b']",1.0,1.0,1.0,1.0,0.5280416435430921,0.9528041643543091,"['00', '05', '10', '15', '20', '30']"
33_7,neural_crest_15somites,neural_crest,15somites,88.04706428226784,0.19885984157180348,6,6,66,133,33,8,"['pax6a', 'pax6b', 'sox10', 'sox19a', 'sox19b', 'sox2', 'sox3', 'sox9b']",0.9545454545454546,1.0,0.9393939393939394,1.0,0.6404845673374612,0.951927244612534,"['00', '05', '10', '15', '20', '30']"
26_5,epidermis_0somites,epidermis,0somites,167.69837876272604,0.2074180036576594,6,6,86,198,43,8,"['pax6a', 'pax6b', 'sox10', 'sox19a', 'sox19b', 'sox2', 'sox3', 'sox9b']",0.9767441860465116,1.0,1.0,1.0,0.5135653622609629,0.9513565362260962,"['00', '05', '10', '15', '20', '30']"
5_6,epidermis_0somites,epidermis,0somites,42.47104261717052,0.32806495829969284,6,6,45,75,28,11,"['gata1a', 'gata2a', 'gata3', 'gata5', 'gata6', 'sox10', 'sox19a', 'sox19b', 'sox2', 'sox3', 'sox9b']",0.9777777777777777,1.0,1.0,1.0,0.47777514105690194,0.9477775141056901,"['00', '05', '10', '15', '20', '30']"
14_1,heart_myocardium_15somites,heart_myocardium,15somites,44.177107204094334,0.3048535247155606,6,6,61,149,31,7,"['gata1a', 'gata2a', 'gata3', 'gata4', 'gata5', 'gata6', 'olig2']",0.9016393442622951,1.0,0.9354838709677419,1.0,0.589316030519392,0.9460283772454876,"['00', '05', '10', '15', '20', '30']"
22_1,epidermis_20somites,epidermis,20somites,16.658396857852797,0.034932629249783576,6,6,52,136,26,2,"['pax6a', 'pax6b']",0.9423076923076923,1.0,1.0,1.0,0.439153250552654,0.9439153250552653,"['00', '05', '10', '15', '20', '30']"
33_4,fast_muscle_10somites,fast_muscle,10somites,50.303448650353296,0.20279725192669584,6,6,90,229,28,1,['olig2'],0.9444444444444444,0.9956331877729258,0.9285714285714286,1.0,0.5812315091841309,0.9425273929645767,"['00', '05', '10', '15', '20', '30']"
17_8,lateral_plate_mesoderm_10somites,lateral_plate_mesoderm,10somites,11.5594479352269,0.1667566679754282,6,6,40,54,29,3,"['gata1a', 'gata5', 'gata6']",0.95,1.0,1.0,1.0,0.4217600984072688,0.9421760098407268,"['00', '05', '10', '15', '20', '30']"
25_9,hemangioblasts_20somites,hemangioblasts,20somites,62.07018296216525,0.42963205947445204,5,5,56,70,36,5,"['gata1a', 'gata5', 'gata6', 'hoxb1b', 'meox1']",0.9821428571428571,1.0,1.0,1.0,0.3961263684397223,0.9396126368439721,"['05', '10', '15', '20', '30']"
22_16,muscle_10somites,muscle,10somites,20.544282153471677,0.26660518294406543,6,6,46,77,29,5,"['olig2', 'sox10', 'sox2', 'sox3', 'sox9b']",1.0,1.0,1.0,1.0,0.3901911518065176,0.9390191151806517,"['00', '05', '10', '15', '20', '30']"
23_3,hindbrain_30somites,hindbrain,30somites,432.9475615882751,0.10212205351731884,6,6,37,60,24,6,"['sox10', 'sox19a', 'sox19b', 'sox2', 'sox3', 'sox9b']",0.9459459459459459,1.0,0.9583333333333334,1.0,0.46909709371657093,0.9385763760383237,"['00', '05', '10', '15', '20', '30']"
29_19,PSM_30somites,PSM,30somites,17.061436869570617,0.06052913584904451,6,6,24,26,13,2,"['pax6a', 'pax6b']",1.0,1.0,1.0,1.0,0.38366652186501754,0.9383666521865017,"['00', '05', '10', '15', '20', '30']"
21_0,PSM_10somites,PSM,10somites,126.95898791501678,0.3405080410973391,6,6,83,226,30,1,['olig2'],0.9156626506024096,0.995575221238938,0.9666666666666667,1.0,0.45971701599628106,0.9379776013046429,"['00', '05', '10', '15', '20', '30']"
26_0,lateral_plate_mesoderm_30somites,lateral_plate_mesoderm,30somites,134.64591671234734,0.1838763525200029,6,6,106,280,39,1,['olig2'],0.9433962264150944,1.0,0.9230769230769231,1.0,0.5210136756324738,0.9367167521786319,"['00', '05', '10', '15', '20', '30']"
26_10,neural_floor_plate_30somites,neural_floor_plate,30somites,123.30134493256811,0.33515044987269627,6,6,89,267,41,6,"['sox10', 'sox19a', 'sox19b', 'sox2', 'sox3', 'sox9b']",0.898876404494382,0.9962546816479401,0.8780487804878049,1.0,0.41580723254034296,0.9160668838459773,"['00', '05', '10', '15', '20', '30']"
29_3,PSM_30somites,PSM,30somites,11.272859862642369,0.045880922766524446,6,6,26,33,20,7,"['sox10', 'sox19a', 'sox19b', 'sox2', 'sox3', 'sox9a', 'sox9b']",0.9230769230769231,0.9696969696969697,0.95,1.0,0.3487587318781058,0.9157849640969015,"['00', '05', '10', '15', '20', '30']"
13_9,muscle_10somites,muscle,10somites,40.32724707852236,0.2601396894771273,6,6,35,53,23,3,"['nkx2.5', 'olig2', 'pax6a']",0.8857142857142857,0.9622641509433962,0.9130434782608695,1.0,0.42954214652753453,0.9142421555879463,"['00', '05', '10', '15', '20', '30']"
21_6,tail_bud_10somites,tail_bud,10somites,51.14960751886458,0.4006930520777927,6,6,123,370,76,12,"['hoxb1b', 'meox1', 'nkx2.5', 'pax2a', 'pax6a', 'pax6b', 'sox10', 'sox19a', 'sox19b', 'sox2', 'sox3', 'sox9b']",0.959349593495935,1.0,0.9736842105263158,0.9166666666666666,0.49095773706754353,0.9104992824786843,"['00', '05', '10', '15', '20', '30']"
15_2,fast_muscle_30somites,fast_muscle,30somites,13.46009967192203,0.2279230501301508,6,6,29,51,17,1,['olig2'],0.8620689655172413,0.9607843137254902,0.8823529411764706,1.0,0.44233892686443155,0.9089397750393844,"['00', '05', '10', '15', '20', '30']"
3_9,neural_floor_plate_30somites,neural_floor_plate,30somites,70.63072880158983,0.3790956677232198,6,6,87,191,62,11,"['hoxa2b', 'hoxb1b', 'meox1', 'nkx2.5', 'pax6a', 'pax6b', 'sox10', 'sox19a', 'sox2', 'sox3', 'sox9b']",0.9655172413793104,1.0,0.967741935483871,0.9090909090909091,0.37871211363484814,0.8950559620966226,"['00', '05', '10', '15', '20', '30']"
3_8,neural_telencephalon_30somites,neural_telencephalon,30somites,59.95199233568785,0.2862930533593826,6,6,79,126,68,6,"['meox1', 'nkx2.5', 'pax6a', 'pax6b', 'sox10', 'sox3']",0.9367088607594937,0.9841269841269841,0.9852941176470589,0.8333333333333334,0.5400352531997878,0.879633777420819,"['00', '05', '10', '15', '20', '30']"
3_0,midbrain_hindbrain_boundary_30somites,midbrain_hindbrain_boundary,30somites,37.08941860937371,0.3502733221490981,6,6,26,32,22,8,"['pax2a', 'pax6a', 'pax6b', 'sox10', 'sox19a', 'sox2', 'sox3', 'sox9b']",0.9230769230769231,0.96875,0.9545454545454546,0.875,0.4732423621500228,0.8788583271240932,"['00', '05', '10', '15', '20', '30']"
21_2,tail_bud_10somites,tail_bud,10somites,21.34599445991641,0.3830710659136287,6,6,43,66,30,5,"['meox1', 'sox19a', 'sox19b', 'sox2', 'sox3']",0.9534883720930233,1.0,0.9666666666666667,0.8,0.6321374982702208,0.8765470831603556,"['00', '05', '10', '15', '20', '30']"
21_4,spinal_cord_10somites,spinal_cord,10somites,51.87372409276934,0.2993320510194628,6,6,72,134,53,9,"['hoxb1b', 'meox1', 'olig2', 'pax6a', 'pax6b', 'sox10', 'sox19a', 'sox3', 'sox9b']",0.9305555555555556,1.0,0.9433962264150944,0.8888888888888888,0.30528675044947495,0.874763475883522,"['00', '05', '10', '15', '20', '30']"
33_8,differentiating_neurons_15somites,differentiating_neurons,15somites,57.788404960943645,0.1674423786250443,6,6,30,41,20,6,"['neurod1', 'neurod4', 'olig2', 'sox3', 'sox9a', 'sox9b']",0.8333333333333334,0.975609756097561,0.9,0.8333333333333334,0.4795783851741983,0.8539740986800215,"['00', '05', '10', '15', '20', '30']"
5_8,epidermis_15somites,epidermis,15somites,90.27394347982305,0.20460089962123962,6,6,54,132,29,5,"['gata1a', 'gata2a', 'gata3', 'gata5', 'gata6']",0.9259259259259259,1.0,0.9310344827586207,0.8,0.43666240226854885,0.8498731367785792,"['00', '05', '10', '15', '20', '30']"
26_6,tail_bud_15somites,tail_bud,15somites,242.6243571015937,0.315624941620668,6,6,118,412,64,4,"['hoxa2b', 'hoxb1b', 'meox1', 'olig2']",0.9322033898305084,1.0,0.9375,0.75,0.5326943210390105,0.8407694321039011,"['00', '05', '10', '15', '20', '30']"
26_4,neural_posterior_30somites,neural_posterior,30somites,436.0384463859523,0.266787138082734,6,6,93,313,45,9,"['pax6a', 'pax6b', 'sox10', 'sox19a', 'sox19b', 'sox2', 'sox3', 'sox9a', 'sox9b']",0.9032258064516129,0.9968051118210862,0.8888888888888888,0.7777777777777778,0.3943180404046086,0.8273622264756757,"['00', '05', '10', '15', '20', '30']"
26_3,neural_optic_0somites,neural_optic,0somites,107.99871719421576,0.2170728212846058,6,6,112,337,48,8,"['pax6a', 'pax6b', 'sox10', 'sox19a', 'sox19b', 'sox2', 'sox3', 'sox9b']",0.8839285714285714,0.9910979228486647,0.8958333333333334,0.75,0.4482076263266811,0.8213168061539343,"['00', '05', '10', '15', '20', '30']"
21_5,spinal_cord_30somites,spinal_cord,30somites,57.217315637610895,0.3492886554635495,6,6,31,47,21,3,"['pax6a', 'pax6b', 'sox10']",0.9354838709677419,1.0,0.9047619047619048,0.6666666666666666,0.6495126378036586,0.8125703113994135,"['00', '05', '10', '15', '20', '30']"
21_3,PSM_10somites,PSM,10somites,118.93008059353,0.48932848267232476,6,6,83,192,39,3,"['hoxb1b', 'meox1', 'olig2']",0.9518072289156626,1.0,0.9743589743589743,0.6666666666666666,0.36928112575294725,0.7984665741137562,"['00', '05', '10', '15', '20', '30']"
33_1,neural_optic_20somites,neural_optic,20somites,37.890636933389096,0.16878829266266848,6,6,160,595,47,8,"['pax6a', 'pax6b', 'sox10', 'sox19a', 'sox19b', 'sox2', 'sox3', 'sox9b']",0.89375,0.9966386554621849,0.8085106382978723,0.75,0.3578909575555102,0.7964828200537809,"['00', '05', '10', '15', '20', '30']"
26_7,endocrine_pancreas_10somites,endocrine_pancreas,10somites,54.29205489696865,0.05560491745858687,6,6,84,147,48,3,"['hoxa2b', 'hoxb1b', 'meox1']",0.9761904761904762,1.0,0.9791666666666666,0.6666666666666666,0.31229621147760456,0.7937296211477605,"['00', '05', '10', '15', '20', '30']"
26_8,neural_floor_plate_30somites,neural_floor_plate,30somites,209.38975409103944,0.2868990997974141,6,6,163,677,54,8,"['pax6a', 'pax6b', 'sox10', 'sox19a', 'sox19b', 'sox2', 'sox3', 'sox9b']",0.8404907975460123,0.9926144756277696,0.7962962962962963,0.75,0.3148902112080427,0.7885326230683944,"['00', '05', '10', '15', '20', '30']"
21_1,tail_bud_15somites,tail_bud,15somites,126.29195214049508,0.4228393516147182,6,6,31,37,21,2,"['hoxb1b', 'meox1']",0.967741935483871,1.0,0.9523809523809523,0.5,0.6614546469040794,0.7566216551665984,"['00', '05', '10', '15', '20', '30']"
33_5,heart_myocardium_10somites,heart_myocardium,10somites,68.70639644653797,0.253265670118054,6,6,90,225,42,5,"['gata1a', 'gata2a', 'gata3', 'gata5', 'gata6']",0.8888888888888888,0.9955555555555555,0.8809523809523809,0.6,0.380732139279734,0.7529303567851162,"['00', '05', '10', '15', '20', '30']"
17_7,tail_bud_10somites,tail_bud,10somites,12.124200918287016,0.16261921692206327,6,6,51,122,32,2,"['hoxb1b', 'meox1']",0.9803921568627451,1.0,0.96875,0.5,0.5270521165103177,0.7464552116510318,"['00', '05', '10', '15', '20', '30']"
10_6,muscle_10somites,muscle,10somites,39.39976026267016,0.3793188115493342,6,6,67,152,41,2,"['hoxb1b', 'meox1']",0.9850746268656716,1.0,0.975609756097561,0.5,0.4953604452796221,0.7446579957474744,"['00', '05', '10', '15', '20', '30']"
3_7,optic_cup_30somites,optic_cup,30somites,67.67074122307342,0.30146736695598575,5,5,48,118,31,3,"['pax2a', 'pax6a', 'pax6b']",0.875,1.0,0.8709677419354839,0.3333333333333333,0.41589418507126275,0.6491163002275564,"['05', '10', '15', '20', '30']"
10_3,muscle_20somites,muscle,20somites,24.064529261462734,0.2798243451640403,6,6,23,47,7,0,[],0.9565217391304348,1.0,0.8571428571428571,0.0,1.0072317980012946,0.5721517512287009,"['00', '05', '10', '15', '20', '30']"
8_5,lateral_plate_mesoderm_30somites,lateral_plate_mesoderm,30somites,40.63152086599008,0.3037937148846064,6,6,38,74,19,0,[],1.0,1.0,1.0,0.0,0.7193675777612974,0.5719367577761297,"['00', '05', '10', '15', '20', '30']"
22_6,epidermis_20somites,epidermis,20somites,23.190360297682677,0.21047515927873794,6,5,26,28,18,0,[],1.0,1.0,1.0,0.0,0.6227452403262754,0.5622745240326276,"['00', '05', '10', '15', '20', '30']"
33_2,lateral_plate_mesoderm_30somites,lateral_plate_mesoderm,30somites,68.09751923641916,0.2802784233876263,6,6,79,170,31,0,[],0.9746835443037974,1.0,0.967741935483871,0.0,0.642099421169858,0.55775832921376,"['00', '05', '10', '15', '20', '30']"
5_3,epidermis_10somites,epidermis,10somites,31.22203758225944,0.14898307411528178,6,6,26,42,11,0,[],0.9615384615384616,1.0,1.0,0.0,0.543123097429982,0.5543123097429982,"['00', '05', '10', '15', '20', '30']"
5_2,epidermis_15somites,epidermis,15somites,47.25761533754972,0.28045184367143006,6,6,31,51,21,0,[],0.9354838709677419,1.0,0.9523809523809523,0.0,0.42565128413309594,0.5330413188895,"['00', '05', '10', '15', '20', '30']"
26_9,hemangioblasts_20somites,hemangioblasts,20somites,113.57504707136248,0.04376388213985871,5,5,43,72,10,0,[],0.9302325581395349,1.0,0.7,0.0,0.3375674593728864,0.47375674593728856,"['05', '10', '15', '20', '30']"
