cluster_id,peak_celltype,peak_timepoint,n_celltypes,n_total_tfs,most_ubiquitous_tf,most_specific_tf
0_0,enteric_neurons,20,0,0,,
0_1,enteric_neurons,20,30,20,pax3a,phox2bb
10_0,muscle,20,3,1,nkx2.7,nkx2.7
10_1,fast_muscle,20,24,6,mef2d,olig2
10_10,fast_muscle,30,12,13,rxraa,erfl1
10_2,fast_muscle,10,11,6,nr2f5,pax6b
10_3,muscle,20,25,8,mef2d,neurod1
10_4,fast_muscle,30,18,15,mef2d,nr4a2a
10_5,fast_muscle,30,5,2,rxraa,nr2f1b
10_6,muscle,10,30,49,hoxb3a,rx3
10_7,fast_muscle,30,30,11,rxraa,rorb
10_8,fast_muscle,30,4,2,mef2d,mef2d
10_9,muscle,10,0,0,,
11_0,pronephros,30,14,4,pax6a,pax6b
11_1,enteric_neurons,30,0,0,,
11_10,pronephros,30,0,0,,
11_11,pronephros,30,0,0,,
11_12,pronephros,30,0,0,,
11_13,hemangioblasts,30,0,0,,
11_14,enteric_neurons,30,0,0,,
11_15,hematopoietic_vasculature,20,29,8,raraa,gli2a
11_2,hemangioblasts,30,6,5,pax6a,pax2a
11_4,endoderm,30,19,4,egr2b,egr2a
11_5,fast_muscle,30,3,1,rxraa,rxraa
11_6,endoderm,30,0,0,,
11_7,pronephros,30,0,0,,
11_8,pronephros,30,0,0,,
11_9,pronephros,30,1,2,lbx1a,lbx1a
12_0,enteric_neurons,30,0,0,,
12_10,enteric_neurons,30,23,2,pax6a,pax6b
12_12,enteric_neurons,30,13,5,gata1a,gata2a
12_13,enteric_neurons,30,0,0,,
12_2,enteric_neurons,30,1,1,sox10,sox10
12_3,enteric_neurons,30,0,0,,
12_4,enteric_neurons,30,2,2,nkx2.7,nkx2.7
12_6,heart_myocardium,20,0,0,,
12_8,enteric_neurons,20,0,0,,
12_9,enteric_neurons,30,0,0,,
13_0,neural_optic,00,11,3,pax6a,egr2b
13_1,enteric_neurons,30,0,0,,
13_10,fast_muscle,30,0,0,,
13_12,neural_optic,00,27,21,sox17,foxe3
13_13,epidermis,20,2,2,rxraa,rxraa
13_14,neural_optic,00,1,1,ctcf,ctcf
13_15,notochord,00,0,0,,
13_16,neural_optic,00,0,0,,
13_17,PSM,30,0,0,,
13_18,neural_crest,30,0,0,,
13_2,hematopoietic_vasculature,20,21,11,etv2,sox14
13_3,enteric_neurons,30,8,5,mef2aa,mafbb
13_4,enteric_neurons,30,4,7,vax2,emx1
13_5,PSM,30,0,0,,
13_6,hatching_gland,10,1,1,pitx2,pitx2
13_7,enteric_neurons,30,0,0,,
13_8,optic_cup,05,4,2,egr2b,egr2a
13_9,muscle,10,32,25,rarga,nkx2.2b
14_0,pronephros,15,32,35,en2b,hoxd3a
14_1,heart_myocardium,15,32,27,nr2f1b,esrrga
14_2,pronephros,15,1,3,hnf1ba,hnf1ba
14_3,endoderm,30,31,14,rxraa,mef2d
14_4,pronephros,30,5,5,gata5,foxf2b
14_5,endoderm,30,15,8,raraa,nr4a2a
14_6,endoderm,30,29,28,hoxb3a,hoxa2b
14_7,pronephros,15,0,0,,
15_1,neural,30,0,0,,
15_11,hatching_gland,10,0,0,,
15_12,epidermis,20,2,1,sox6,sox6
15_14,fast_muscle,30,0,0,,
15_2,fast_muscle,30,20,8,raraa,rorb
15_4,enteric_neurons,30,0,0,,
15_5,hemangioblasts,20,0,0,,
15_7,endocrine_pancreas,30,2,1,sox6,sox6
15_8,neural,30,0,0,,
15_9,muscle,20,31,7,pax6a,mafbb
16_0,enteric_neurons,30,13,5,foxd3,foxi3a
16_1,notochord,00,10,1,ctcf,ctcf
16_2,notochord,05,0,0,,
16_3,notochord,00,0,0,,
17_0,notochord,15,1,1,ar,ar
17_1,hemangioblasts,05,0,0,,
17_2,hatching_gland,15,0,0,,
17_3,neural_floor_plate,05,26,4,etv5a,egr4
17_4,hematopoietic_vasculature,30,18,5,pax6a,gata2a
17_5,neural,05,8,3,tead1b,thrb
17_6,enteric_neurons,10,1,1,sox5,sox5
17_7,tail_bud,10,32,47,hoxb3a,gsx1
17_8,lateral_plate_mesoderm,10,31,24,raraa,gata2a
17_9,neural_posterior,10,22,5,egr2a,zic2a
18_0,hatching_gland,15,0,0,,
18_1,hatching_gland,10,0,0,,
18_10,hatching_gland,10,8,7,nr3c2,sox6
18_11,hatching_gland,10,1,2,foxe3,foxe3
18_12,hatching_gland,10,0,0,,
18_2,hatching_gland,10,0,0,,
18_3,hatching_gland,10,12,5,pitx2,gsc
18_4,hatching_gland,15,1,3,rorab,rorab
18_5,hatching_gland,15,1,1,meox1,meox1
18_6,hatching_gland,10,5,8,foxi1,foxi1
18_7,hatching_gland,15,10,5,pitx2,egr2a
18_8,hatching_gland,10,9,2,pax6b,pitx2
18_9,hatching_gland,15,26,14,sox6,ar
19_0,endoderm,30,0,0,,
19_10,notochord,10,26,10,foxd3,pax2a
19_11,enteric_neurons,30,0,0,,
19_12,lateral_plate_mesoderm,30,5,6,FQ377628.1,sox10
19_13,enteric_neurons,30,0,0,,
19_14,epidermis,15,4,2,jun,tead1b
19_16,notochord,10,0,0,,
19_2,notochord,10,0,0,,
19_6,muscle,10,14,3,cdx4,cdx1b
19_7,hatching_gland,10,0,0,,
19_8,notochord,05,0,0,,
19_9,hematopoietic_vasculature,20,6,6,fli1b,etv4
1_1,endoderm,30,0,0,,
1_10,PSM,30,0,0,,
1_13,endocrine_pancreas,30,0,0,,
1_2,neural_crest,20,21,6,foxd1,cdx4
1_3,epidermis,10,11,7,foxe3,foxf2a
1_4,hematopoietic_vasculature,20,5,6,fli1b,elk3
1_5,PSM,30,6,5,neurod6a,olig2
1_6,differentiating_neurons,30,0,0,,
1_7,PSM,30,0,0,,
1_8,PSM,30,0,0,,
1_9,epidermis,15,6,10,sox3,foxd2
20_0,notochord,05,0,0,,
20_2,enteric_neurons,30,0,0,,
20_3,notochord,10,12,3,pax6a,pax6b
20_4,floor_plate,30,25,8,nr2f1b,zic3
21_0,PSM,10,32,20,rarga,zic2b
21_1,tail_bud,15,32,16,meox1,mnx2a
21_2,tail_bud,10,28,30,hoxb3a,vax1
21_3,PSM,10,32,43,hoxb3a,barhl1b
21_4,spinal_cord,10,32,71,msx1b,zic2a
21_5,spinal_cord,30,31,13,raraa,sox21a
21_6,tail_bud,10,32,75,msx3,nkx2.3
22_0,endocrine_pancreas,30,16,5,rxraa,rorb
22_1,epidermis,20,32,18,thrab,nr5a1b
22_11,hatching_gland,10,20,15,nr6a1b,sox3
22_12,differentiating_neurons,30,7,2,nkx2.7,foxa
22_13,pronephros,15,0,0,,
22_14,epidermis,20,30,5,pax6a,foxi2
22_15,enteric_neurons,30,2,1,rorb,rorb
22_16,muscle,10,32,29,raraa,sox10
22_2,PSM,30,1,1,rorb,rorb
22_4,hematopoietic_vasculature,20,11,9,etv2,sox5
22_5,pharyngeal_arches,30,7,5,rxraa,nr4a2a
22_6,epidermis,20,24,12,rarga,foxg1a
22_7,enteric_neurons,30,0,0,,
22_8,enteric_neurons,30,28,26,hoxb3a,hoxa2b
22_9,enteric_neurons,30,0,0,,
23_0,hemangioblasts,30,31,22,sox21a,egr4
23_1,hemangioblasts,30,29,4,egr2a,egr3
23_2,hemangioblasts,30,0,0,,
23_3,hindbrain,30,31,20,sox11b,sox18
23_4,hemangioblasts,30,1,1,elf3,elf3
24_0,hematopoietic_vasculature,30,11,3,sox6,FQ377628.1
24_1,neural,20,19,2,egr2a,egr2b
24_10,notochord,10,6,4,gata5,gata3
24_11,lateral_plate_mesoderm,30,0,0,,
24_13,differentiating_neurons,30,0,0,,
24_14,neural,30,0,0,,
24_15,fast_muscle,20,0,0,,
24_2,hematopoietic_vasculature,20,0,0,,
24_4,hatching_gland,15,2,1,foxd3,foxd3
24_6,epidermis,15,0,0,,
24_7,endocrine_pancreas,30,1,1,foxa,foxa
24_9,neural_floor_plate,30,20,17,hoxb3a,mnx2b
25_0,hematopoietic_vasculature,20,12,7,etv2,etv4
25_1,hematopoietic_vasculature,20,32,22,mafba,foxg1a
25_10,hematopoietic_vasculature,30,9,7,pax2a,pax6b
25_11,hematopoietic_vasculature,20,5,5,fli1b,gata1a
25_12,hematopoietic_vasculature,20,11,10,etv2,hoxc13b
25_2,hemangioblasts,30,18,8,gata1a,gata5
25_3,hematopoietic_vasculature,30,31,33,rxraa,mafa
25_4,hemangioblasts,30,0,0,,
25_5,hematopoietic_vasculature,20,10,6,etv2,etv4
25_6,hematopoietic_vasculature,20,11,10,etv2,gata5
25_7,hematopoietic_vasculature,20,26,12,etv4,erfl1
25_8,hematopoietic_vasculature,20,10,5,etv2,fev
25_9,hemangioblasts,20,31,37,meox1,gsx1
26_0,lateral_plate_mesoderm,30,31,21,nr2f1b,olig2
26_1,hemangioblasts,10,32,2,xbp1,grhl1
26_10,neural_floor_plate,30,31,27,sox21a,sox18
26_11,hemangioblasts,15,31,15,gata5,egr4
26_12,hemangioblasts,30,0,0,,
26_2,hemangioblasts,30,25,4,egr2b,egr2a
26_3,neural_optic,00,30,45,raraa,egr4
26_4,neural_posterior,30,31,33,raraa,olig2
26_5,epidermis,00,30,40,sox6,nr1h4
26_6,tail_bud,15,32,53,raraa,hmx4
26_7,endocrine_pancreas,10,32,48,msx3,prrx1b
26_8,neural_floor_plate,30,31,34,sox11a,sox18
26_9,hemangioblasts,20,32,11,etv4,dmrt2b
27_0,pronephros,20,0,0,,
27_1,notochord,20,0,0,,
27_3,fast_muscle,30,0,0,,
27_4,neural,30,0,0,,
27_5,fast_muscle,10,0,0,,
28_0,enteric_neurons,30,28,35,otpb,sox10
28_1,enteric_neurons,30,0,0,,
28_10,enteric_neurons,30,15,9,pax6b,nr5a2
28_11,enteric_neurons,30,31,40,egr2a,mafa
28_12,enteric_neurons,30,6,4,sox14,sox21a
28_2,enteric_neurons,30,15,14,mnx2b,en2b
28_3,enteric_neurons,30,21,25,sox11a,vax1
28_4,enteric_neurons,30,8,4,fli1a,gata3
28_5,enteric_neurons,30,0,0,,
28_6,enteric_neurons,30,6,7,nr5a2,nkx2.3
28_7,enteric_neurons,30,23,23,otpb,phox2bb
28_8,enteric_neurons,30,0,0,,
28_9,enteric_neurons,30,1,2,hmx3a,hmx3a
29_0,PSM,30,1,1,dmrt3a,dmrt3a
29_1,PSM,30,2,2,zic3,zic3
29_12,hemangioblasts,20,9,8,fli1b,etv4
29_13,PSM,30,0,0,,
29_14,PSM,30,0,0,,
29_15,hatching_gland,10,0,0,,
29_16,enteric_neurons,30,0,0,,
29_17,PSM,30,0,0,,
29_18,PSM,30,0,0,,
29_19,PSM,30,31,12,pax6a,zic1
29_2,PSM,30,0,0,,
29_3,PSM,30,21,12,sox5,FQ377628.1
29_4,enteric_neurons,30,0,0,,
29_6,fast_muscle,30,2,2,six4b,six1b
29_7,epidermis,15,32,14,rarab,nr4a2a
29_8,neural_telencephalon,30,0,0,,
2_0,enteric_neurons,30,0,0,,
2_1,enteric_neurons,30,0,0,,
2_11,enteric_neurons,30,1,1,mafbb,mafbb
2_12,enteric_neurons,30,0,0,,
2_13,enteric_neurons,30,1,1,shox,shox
2_14,enteric_neurons,30,0,0,,
2_15,PSM,30,0,0,,
2_16,enteric_neurons,30,0,0,,
2_17,enteric_neurons,30,0,0,,
2_18,enteric_neurons,30,0,0,,
2_19,enteric_neurons,30,0,0,,
2_2,enteric_neurons,30,31,53,pax3a,vax1
2_3,enteric_neurons,30,0,0,,
2_5,enteric_neurons,30,23,6,pax6a,egr4
2_6,enteric_neurons,30,0,0,,
2_7,enteric_neurons,30,22,3,six1b,six4b
2_8,enteric_neurons,30,11,4,gata1a,etv4
2_9,enteric_neurons,30,0,0,,
30_0,enteric_neurons,30,0,0,,
30_1,enteric_neurons,30,0,0,,
30_2,enteric_neurons,30,0,0,,
30_5,enteric_neurons,30,0,0,,
30_6,enteric_neurons,30,1,1,nkx2.7,nkx2.7
31_0,enteric_neurons,30,0,0,,
31_1,enteric_neurons,30,11,3,nr2f1b,thrab
31_3,PSM,30,0,0,,
31_5,PSM,30,0,0,,
31_6,tail_bud,20,27,12,rxraa,sox3
31_7,enteric_neurons,30,0,0,,
32_0,notochord,00,26,8,zic2b,zic1
32_1,notochord,05,0,0,,
32_10,hatching_gland,10,0,0,,
32_12,endoderm,30,0,0,,
32_13,epidermis,10,8,8,foxe3,rorab
32_14,enteric_neurons,30,0,0,,
32_15,enteric_neurons,30,26,24,hoxb3a,rx3
32_2,neural,30,0,0,,
32_4,PSM,30,0,0,,
32_5,enteric_neurons,30,0,0,,
32_6,neural_crest,20,3,3,rxraa,sox3
32_7,hemangioblasts,30,0,0,,
32_9,NMPs,15,0,0,,
33_0,notochord,10,0,0,,
33_1,neural_optic,20,32,26,sox10,nr5a1b
33_2,lateral_plate_mesoderm,30,31,19,raraa,olig2
33_3,notochord,00,29,1,ctcf,ctcf
33_4,fast_muscle,10,32,17,nr2f5,irf8
33_5,heart_myocardium,10,32,34,nr2f5,six2a
33_6,endocrine_pancreas,10,32,4,xbp1,zic2a
33_7,neural_crest,15,32,30,sox11a,nr4a2a
33_8,differentiating_neurons,15,32,18,sox5,olig2
34_0,neural_crest,20,24,16,sox10,nr5a2
34_1,neural_crest,20,31,14,rarga,ar
34_2,neural_crest,20,17,8,sox5,esrrga
34_3,neural_crest,15,32,16,sox13,raraa
34_4,neural_crest,15,23,5,nr4a2b,rarga
35_0,optic_cup,30,0,0,,
35_1,epidermis,10,0,0,,
35_11,endocrine_pancreas,30,0,0,,
35_12,endoderm,30,0,0,,
35_14,neural_crest,15,0,0,,
35_15,muscle,10,14,11,hoxb3a,barhl1a
35_3,enteric_neurons,30,0,0,,
35_4,hatching_gland,10,0,0,,
35_5,hematopoietic_vasculature,20,4,7,sox6,fli1a
35_8,notochord,00,1,1,egr1,egr1
35_9,endoderm,30,5,3,bcl11ab,bcl11ab
3_0,midbrain_hindbrain_boundary,30,31,14,nr2f1b,pax6a
3_1,optic_cup,20,31,40,pax6b,vax1
3_10,optic_cup,20,31,24,nr2f1b,nkx2.4a
3_2,hindbrain,15,32,19,sox11a,sox8a
3_3,neural_optic,20,19,8,hoxb3a,vax1
3_4,neural_telencephalon,30,16,5,nr2f1b,raraa
3_5,optic_cup,30,31,41,nr2f1b,vax1
3_6,hindbrain,15,31,14,sox13,nr4a2a
3_7,optic_cup,30,31,22,nr2f1b,foxi3a
3_8,neural_telencephalon,30,31,61,hoxb3a,sox21a
3_9,neural_floor_plate,30,31,62,nr2f1b,hoxb5b
4_0,hatching_gland,15,0,0,,
4_1,hatching_gland,15,0,0,,
4_2,muscle,10,0,0,,
4_3,neural,30,0,0,,
4_4,endocrine_pancreas,30,0,0,,
5_0,hatching_gland,15,12,2,six1b,six2a
5_1,enteric_neurons,00,30,24,rx3,hmx4
5_2,epidermis,15,32,19,raraa,gcm2
5_3,epidermis,10,32,12,nr2f5,tead1b
5_4,epidermis,10,28,3,tead1b,nr3c2
5_5,epidermis,10,30,27,tead1b,foxf2a
5_6,epidermis,00,30,28,sox32,sox1a
5_7,epidermis,15,8,2,grhl1,tead1b
5_8,epidermis,15,32,28,raraa,egr4
5_9,epidermis,10,10,8,pitx1,zgc:101100
6_1,hematopoietic_vasculature,30,1,4,sox10,sox10
6_2,fast_muscle,30,0,0,,
6_3,hindbrain,30,4,3,nr2f1b,nr5a1b
6_4,endoderm,30,0,0,,
6_5,notochord,05,20,1,dmrt2a,dmrt2a
7_1,endocrine_pancreas,30,1,1,hoxc13b,hoxc13b
7_10,endocrine_pancreas,30,11,3,sox6,FQ377628.1
7_11,differentiating_neurons,30,0,0,,
7_12,neural_crest,30,1,1,sox1a,sox1a
7_13,endoderm,30,0,0,,
7_2,hatching_gland,15,10,3,gfi1ab,gfi1aa
7_3,neural_crest,20,3,4,sox3,sox3
7_4,differentiating_neurons,30,31,17,nr2f1b,nr5a2
7_5,endoderm,30,5,6,FQ377628.1,sox10
7_6,tail_bud,05,27,14,foxd3,foxc1b
7_7,muscle,20,16,3,foxd3,foxf1
7_9,lateral_plate_mesoderm,30,2,1,sox6,sox6
8_0,lateral_plate_mesoderm,00,3,2,egr2b,egr1
8_1,notochord,10,0,0,,
8_2,neural,20,31,11,nr2f1b,pparaa
8_3,neural_optic,00,2,2,egr2b,egr2b
8_4,lateral_plate_mesoderm,30,2,1,raraa,raraa
8_5,lateral_plate_mesoderm,30,28,14,rxraa,thrab
9_2,enteric_neurons,30,0,0,,
9_3,enteric_neurons,30,0,0,,
9_4,enteric_neurons,30,0,0,,
