tier,tier_name,gene,n_peaks_total,n_peaks_spec,peak_tp,peak_tp_int,peak_max_z,peak_type,leiden_coarse,z_profile,mean_z_profile,motif_GATA,motif_TBX,motif_NKX/HMX,motif_HAND,motif_MEF2,motif_TEAD
1,"Tier 1 — Pioneer TFs
(cardiac fate)",gata4,35,21,30somites,30,4.11,intergenic,12,"[2.2446374893188477, 2.20413875579834, 2.020453453063965, 2.602207899093628, 2.9325931072235107, 4.10882043838501]","[1.8048855066299438, 1.6444073915481567, 2.069084644317627, 1.5032014846801758, 1.744541883468628, 1.4810129404067993]",2.2795166291313493,1.7200651842238728,2.575015541591442,0.0480681420092902,-0.4425367134633604,-2.7012136539157483
1,"Tier 1 — Pioneer TFs
(cardiac fate)",gata5,34,31,10somites,10,3.03,intergenic,14,"[2.4535486698150635, 2.867821455001831, 3.030364990234375, 2.3071768283843994, 2.1857383251190186, 2.1251158714294434]","[1.9324464797973633, 1.9300531148910522, 2.0853230953216553, 1.9609731435775757, 1.82023024559021, 1.5912256240844727]",3.0172982412886955,1.1401351088265257,1.4656108914560433,-0.4196095014251429,0.6947662931220842,3.3778123406980343
1,"Tier 1 — Pioneer TFs
(cardiac fate)",gata6,48,38,30somites,30,4.4,intergenic,14,"[0.9083452224731445, 1.7573820352554321, 1.9754739999771118, 2.076085329055786, 2.713167905807495, 4.39849328994751]","[1.4131500720977783, 1.4039114713668823, 1.812699794769287, 1.6172977685928345, 1.7572535276412964, 1.214464783668518]",3.0172982412886955,1.1401351088265257,1.4656108914560433,-0.4196095014251429,0.6947662931220842,3.3778123406980343
1,"Tier 1 — Pioneer TFs
(cardiac fate)",tbx5a,29,27,15somites,15,3.89,intergenic,14,"[0.8686500787734985, 2.718423843383789, 3.7520594596862793, 3.8914198875427246, 3.694162130355835, 3.288484811782837]","[0.6675239205360413, 1.1950455904006958, 1.967058777809143, 1.6742652654647827, 1.7750388383865356, 1.533684253692627]",3.0172982412886955,1.1401351088265257,1.4656108914560433,-0.4196095014251429,0.6947662931220842,3.3778123406980343
1,"Tier 1 — Pioneer TFs
(cardiac fate)",hand2,25,20,5somites,5,2.71,intergenic,33,"[2.6326119899749756, 2.712296724319458, 2.5219314098358154, 2.651202917098999, 2.3382558822631836, 2.6009786128997803]","[1.6089696884155273, 1.5615317821502686, 1.6540826559066772, 1.497410535812378, 1.5101814270019531, 0.5162478685379028]",1.1081347245506097,1.27380812146418,1.7525056914059016,0.7042037617854453,0.1444712304302497,0.1954465386466244
2,"Tier 2 — Homeodomain TFs
(chamber specification)",nkx2.5,10,4,10somites,10,1.92,promoter,26,"[0.9251725077629089, 1.6777400970458984, 1.9230109453201294, 1.5788071155548096, 1.6496070623397827, 1.3781684637069702]","[1.2442458868026733, 1.3539471626281738, 1.2883368730545044, 0.8800036311149597, 1.0349477529525757, 0.09971608221530914]",1.2789118940213116,1.070214681614648,2.6004126101152294,0.8021597002729911,0.4550758295934692,0.2561797232511446
2,"Tier 2 — Homeodomain TFs
(chamber specification)",tbx20,34,26,30somites,30,3.64,intergenic,8,"[1.6803662776947021, 2.4463717937469482, 1.8905900716781616, 1.6581276655197144, 1.6723955869674683, 3.640390157699585]","[1.6239631175994873, 1.9668539762496948, 1.88813316822052, 1.6639313697814941, 1.5854135751724243, 1.3227958679199219]",1.157919706024299,3.1877777929015965,1.089807331711823,-0.6840127082019893,0.7541785209288606,3.290331410648581
2,"Tier 2 — Homeodomain TFs
(chamber specification)",mef2cb,93,39,30somites,30,3.65,intronic,7,"[0.2521912157535553, 0.4421401023864746, 0.6018190979957581, 0.06537613272666931, 0.4572505056858063, 3.6462883949279785]","[0.8428525924682617, 1.3230503797531128, 1.4841961860656738, 0.8980244398117065, 0.8576437830924988, -0.06410465389490128]",1.929665766446608,1.8208987487935648,1.75859134317426,0.2160354703610587,-0.1303270403803947,-1.9321337162708687
3,"Tier 3 — Structural / Contractile
(maturation)",myl7,7,7,10somites,10,2.95,promoter,14,"[1.4828509092330933, 1.9419082403182983, 2.94695782661438, 2.7959418296813965, 2.8667922019958496, 2.6107285022735596]","[0.9284413456916809, 1.0162384510040283, 1.633548617362976, 1.6426633596420288, 1.8203489780426025, 0.700957179069519]",3.0172982412886955,1.1401351088265257,1.4656108914560433,-0.4196095014251429,0.6947662931220842,3.3778123406980343
3,"Tier 3 — Structural / Contractile
(maturation)",tnnt2a,31,29,15somites,15,4.03,promoter,14,"[1.1762335300445557, 2.225313186645508, 3.7329037189483643, 4.027719020843506, 3.4431965351104736, 3.5333645343780518]","[-0.0023004719987511635, 0.4446844458580017, 2.117833137512207, 1.9893091917037964, 1.637878656387329, 1.1525993347167969]",3.0172982412886955,1.1401351088265257,1.4656108914560433,-0.4196095014251429,0.6947662931220842,3.3778123406980343
3,"Tier 3 — Structural / Contractile
(maturation)",myh6,29,28,10somites,10,3.83,exonic,14,"[1.4920017719268799, 1.1965911388397217, 3.8327133655548096, 3.825939655303955, 3.203218698501587, 3.490326404571533]","[0.06695286184549332, 0.3959793150424957, 1.853789210319519, 1.9843693971633911, 1.964460015296936, 1.0350035429000854]",3.0172982412886955,1.1401351088265257,1.4656108914560433,-0.4196095014251429,0.6947662931220842,3.3778123406980343
3,"Tier 3 — Structural / Contractile
(maturation)",myh7,11,11,30somites,30,5.25,exonic,30,"[-0.7670876383781433, 1.3536810874938965, 1.9692107439041138, 0.8679418563842773, 0.8810062408447266, 5.248739719390869]","[0.443686306476593, 1.4162118434906006, 2.362398624420166, 2.114825487136841, 2.013561487197876, 2.414165735244751]",4.412611031015956,1.49262107750705,2.401649680299928,-0.8441138209741452,-0.4516649920528638,-2.4591104236038364
3,"Tier 3 — Structural / Contractile
(maturation)",tnni1b,18,15,15somites,15,3.58,promoter,14,"[1.700353741645813, 1.6991758346557617, 3.4023404121398926, 3.583467960357666, 3.1825482845306396, 3.296337604522705]","[-0.007024002261459827, 0.6589623093605042, 2.2096962928771973, 2.1128733158111572, 1.9275668859481812, 1.416277289390564]",3.0172982412886955,1.1401351088265257,1.4656108914560433,-0.4196095014251429,0.6947662931220842,3.3778123406980343
3,"Tier 3 — Structural / Contractile
(maturation)",nppa,13,5,20somites,20,2.84,promoter,19,"[-0.11373793333768845, 0.3404056131839752, 1.527822494506836, 1.5890134572982788, 2.8437068462371826, 2.593768358230591]","[0.19747284054756165, 0.39280271530151367, 0.7184324264526367, 0.13649685680866241, 0.49170559644699097, 2.1531550884246826]",0.779931351336669,1.58488247022449,1.1342541034925488,0.4330792662934154,2.462508944877209,-2.7008458315656165
